User_Text,Sentiment_Label,Recommended_Song_ID,Song_Name,Artist,Genre,Tempo_BPM,Mood,Energy,Danceability
Way ball purpose public experience recently realize too.,Sad,S1,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Save officer two myself a.,Happy,S2,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Decade ahead everyone environment themselves action health.,Relaxed,S3,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Best change letter citizen try ask quality process.,Happy,S4,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Worker player chance kind actually.,Happy,S5,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Produce prove hot personal ago.,Motivated,S6,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Culture soldier night never song dream.,Sad,S7,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Expect order very.,Sad,S8,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Clearly though film address stock Mr specific.,Motivated,S9,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Market school sense expert blue mention nor risk.,Sad,S10,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Until drive realize.,Motivated,S11,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Staff life identify.,Happy,S12,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Present strong people add believe message sign.,Happy,S13,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Left quality wish may lose forward right.,Sad,S14,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Customer share score Republican marriage guy.,Relaxed,S15,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Even hotel notice of condition.,Happy,S16,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Receive these like television.,Relaxed,S17,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Policy school address or.,Sad,S18,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Particular draw easy most across drive machine.,Relaxed,S19,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Owner blood them.,Happy,S20,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Safe education culture seven budget.,Happy,S21,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Water budget debate do bring gas magazine.,Relaxed,S22,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
When east business place strong him.,Motivated,S23,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Edge spring stand story life.,Sad,S24,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Article control world admit.,Relaxed,S25,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
With score personal.,Motivated,S26,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Natural for growth performance.,Sad,S27,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Wear food painting and.,Motivated,S28,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
South traditional certainly upon team.,Motivated,S29,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Down see owner impact artist still.,Motivated,S30,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Enough fight lay arm.,Relaxed,S31,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Condition language standard happy daughter cost west between.,Motivated,S32,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
As get together toward level yes member away.,Relaxed,S33,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Put development threat house news direction our.,Motivated,S34,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Its peace yet.,Happy,S35,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Once rather soldier family just.,Relaxed,S36,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Enough police tree reflect peace.,Sad,S37,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Him somebody statement project.,Relaxed,S38,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Impact court its author.,Motivated,S39,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Use coach hand western.,Relaxed,S40,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Tonight government smile surface base party fire.,Sad,S41,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Mother choose light particular ability ahead yourself.,Happy,S42,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Total manager who leg hotel if language Mrs.,Sad,S43,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Process already author she management require there help.,Sad,S44,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Drive wait receive population.,Happy,S45,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Truth art control attack development.,Happy,S46,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Strategy sell drive already.,Relaxed,S47,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Key traditional manager woman very Congress.,Relaxed,S48,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
House prepare tree ahead may special not teach.,Relaxed,S49,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Down position help any contain easy girl.,Sad,S50,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Wish point color produce product lead.,Relaxed,S51,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Throughout read simple traditional whole better physical.,Motivated,S52,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Rise interesting cultural fire think probably.,Happy,S53,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Write they key on history already such movie.,Sad,S54,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Treatment item four economy trade start.,Motivated,S55,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Cover class deep system guy forward point bill.,Sad,S56,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Behind anyone production check side find care require.,Sad,S57,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Force yet others certainly prove.,Happy,S58,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Inside would feeling year oil.,Sad,S59,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Benefit million hold us management information.,Sad,S60,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Expect through year first five.,Motivated,S61,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Sense teach understand agreement.,Sad,S62,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Million stock each talk.,Relaxed,S63,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Pay stage middle along trial international condition.,Motivated,S64,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Us note value much.,Motivated,S65,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Stock yard move ok.,Sad,S66,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
View perhaps sense put admit choose.,Relaxed,S67,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Sister address during true hospital.,Happy,S68,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Condition glass real check keep Congress.,Relaxed,S69,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Lot behavior up save far health.,Motivated,S70,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Tax four buy on yeah culture model.,Happy,S71,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Speak laugh shoulder maybe good.,Relaxed,S72,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Decision past institution radio.,Relaxed,S73,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Catch yard study moment whether science low.,Motivated,S74,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Beat heavy read clear.,Happy,S75,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Phone leg month.,Sad,S76,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Drive memory campaign ask car man baby.,Happy,S77,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Might such eight source response.,Motivated,S78,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Professional occur clear wrong hotel after actually see.,Sad,S79,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Effort local family receive.,Happy,S80,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Step budget education scene yourself answer.,Sad,S81,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Her next they decade over.,Sad,S82,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Knowledge base price dream among.,Motivated,S83,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Know and interview land on figure ability.,Motivated,S84,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Here life away president make win space.,Sad,S85,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Bar business lawyer grow city keep effort.,Motivated,S86,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Game party hit behind.,Motivated,S87,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Recent whole deal for hotel.,Happy,S88,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Try woman condition prove.,Motivated,S89,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
That meet record.,Happy,S90,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
All big song camera line between.,Happy,S91,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Particularly team present yet grow by finish.,Happy,S92,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Skin onto happen.,Motivated,S93,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Election parent new member hot prepare open.,Sad,S94,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Ask return specific enough enjoy could national.,Relaxed,S95,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Out seven but account world campaign.,Sad,S96,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Knowledge she hair coach need life.,Sad,S97,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Baby personal north.,Relaxed,S98,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Energy cultural view data through.,Happy,S99,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Discuss could road his husband free building.,Happy,S100,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Pick likely administration first must student really.,Happy,S101,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Nature PM natural anyone discuss red.,Sad,S102,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Wind subject represent inside nature partner dark.,Relaxed,S103,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Issue both century there.,Sad,S104,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
